№;Месяц;Группировка;Гос. номер;Пробег в поездках;Моточасы;Моточасы в движении;Моточасы без движения;Заправлено;Потрачено по ДУТ всего;Потрачено по ДУТ в движении;Ср. расход по ДУТ всего;Потрачено по ДУТ на холостом ходу;Ср. расход по ДУТ на холостом ходу;Ср. расход по ДУТ в движении;Ср. скорость;Макс. скорость;;
;Ноябрь 2024;О645КА977;О645КА977;15 703;280;231,9;48,5;4766,1;4 803;4 669;30,6;134;2,8;29,7;22;116;;
1.1;Декабрь 2024;DAF К639ХВ777 ООО КР ГРУПП;к639хв777;106;23;9,4;7,7;386,9;97;48;81,8;5;0,6;45,1;18;222;;
1.2;Декабрь 2024;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;5 531;236;178,3;51,0;1924,1;2 232;1 858;39,6;94;1,8;33,6;39;237;;
1.3;Декабрь 2024;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;10 480;217;174,6;40,9;3161,0;3 338;3 138;31,7;94;2,3;29,9;60;209;;
1.4;Декабрь 2024;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;4 114;137;101,1;31,3;2148,6;1 892;1 930;45,7;118;3,8;46,9;39;300;;
1.5;Декабрь 2024;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;10 898;251;196,3;53,7;3934,2;3 437;3 222;31,4;180;3,4;29,6;59;252;;
1.6;Декабрь 2024;FAW О645КА977 ООО КР ГРУПП;О645КА977;14 275;303;251,2;52,0;4456,6;4 287;4 010;30,0;277;5,3;28,1;19;107;;
1.7;Декабрь 2024;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);3 686;169;115,4;54,0;1382,4;1 501;1 334;40,6;145;2,7;36,2;30;157;;
1.8;Декабрь 2024;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;271;19;8,6;6,2;402,2;608;82;179,0;9;1,4;30,4;40;102;;
1.9;Декабрь 2024;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;12 468;288;213,4;62,5;4669,4;4 480;4 248;35,8;95;1,5;34,1;60;200;;
1.10;Декабрь 2024;MAN М065МН777 ООО КР ГРУПП;М065МН777;5 554;198;146,3;50,3;2036,9;2 192;2 193;39,2;56;1,1;39,5;40;317;;
1.11;Декабрь 2024;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;3 218;226;109,8;110,7;1769,3;1 542;1 238;47,1;231;2,1;38,5;32;139;;
1.12;Декабрь 2024;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;11 794;252;209,2;36,6;3666,9;3 961;3 438;33,4;65;1,8;29,2;62;354;;
1.13;Декабрь 2024;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;6 324;226;151,4;72,9;2733,0;2 684;2 480;42,0;276;3,8;39,2;43;209;;
1.14;Декабрь 2024;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;8 637;242;180,9;59,6;2857,4;2 867;2 734;33,1;103;1,7;31,7;48;169;;
1.15;Декабрь 2024;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;7 288;240;161,5;69,1;2940,5;2 964;2 588;40,3;430;6,2;35,5;49;428;;
1.16;Декабрь 2024;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;6 465;153;130,6;22,3;2407,7;2 481;2 413;38,3;29;1,3;37,3;49;196;;
1.17;Декабрь 2024;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;9 969;406;225,4;168,8;3898,7;3 655;3 075;36,3;430;2,5;30,8;52;183;;
1.18;Декабрь 2024;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;9 073;250;183,8;52,0;2801,1;3 048;2 588;33,4;307;5,9;28,5;52;172;;
1.19;Декабрь 2024;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;13 302;292;213,3;70,7;4377,8;4 328;3 945;32,5;253;3,6;29,7;63;283;;
1.20;Декабрь 2024;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;9 208;185;147,0;37,4;2873,9;2 964;2 810;32,1;151;4,0;30,5;62;200;;
1.21;Декабрь 2024;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;11 269;263;198,0;63,0;4137,8;4 070;3 746;36,0;208;3,3;33,2;58;252;;
1.22;Декабрь 2024;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;8 175;258;152,5;105,2;5530,1;5 510;4 954;67,0;398;3,8;60,6;55;135;;
1.23;Декабрь 2024;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;5 658;218;175,3;28,0;2691,0;2 746;2 035;47,8;137;4,9;36,0;42;372;;
1.24;Декабрь 2024;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;5 343;226;127,0;81,5;2385,0;2 549;2 131;47,2;443;5,4;39,9;46;178;;
1.25;Декабрь 2024;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;15 063;316;261,3;54,1;5487,2;5 481;5 330;36,3;177;3,3;35,4;59;209;;
1.1;Январь 2025;DAF К639ХВ777 ООО КР ГРУПП;к639хв777;8 472;185;138,8;44,2;2373,2;2 521;2 427;29,7;46;1,0;28,6;60;200;;
1.2;Январь 2025;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;7 975;221;174,5;37,7;3131,1;3 030;2 677;37,7;77;2,1;33,6;56;206;;
1.3;Январь 2025;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;9 459;210;167,1;33,1;3125,7;3 021;2 791;31,8;97;2,9;29,5;58;407;;
1.4;Январь 2025;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;2 760;183;77,4;25,6;1600,6;1 687;1 098;60,8;82;3,2;39,8;38;469;;
1.5;Январь 2025;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;6 407;157;105,7;49,1;2188,4;2 191;1 975;34,0;190;3,9;30,8;58;246;;
1.6;Январь 2025;FAW О645КА977 ООО КР ГРУПП;О645КА977;13 064;269;235,8;33,6;3936,9;4 204;4 037;32,2;167;5,0;30,9;17;116;;
1.7;Январь 2025;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);3 670;132;86,5;45,8;1538,7;1 390;1 231;37,8;141;3,1;33,6;41;194;;
1.8;Январь 2025;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;3 332;118;75,2;39,0;1562,8;1 841;1 260;52,4;77;2,0;37,8;46;150;;
1.9;Январь 2025;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;9 152;268;181,7;67,3;3440,5;3 600;3 276;39,1;93;1,4;35,8;57;196;;
1.10;Январь 2025;MAN М065МН777 ООО КР ГРУПП;М065МН777;982;46;27,8;15,2;397,0;362;350;36,2;15;1,0;35,6;39;437;;
1.11;Январь 2025;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;3 079;170;93,5;53,9;1923,2;1 761;1 171;56,3;134;2,5;38,0;42;139;;
1.12;Январь 2025;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;5 841;132;109,0;19,0;2229,6;2 007;1 823;34,2;9;0,5;31,2;57;157;;
1.13;Январь 2025;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;6 204;180;132,1;46,3;2238,4;2 425;2 298;38,9;89;1,9;37,0;51;187;;
1.14;Январь 2025;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;7 969;220;162,5;56,8;2923,8;2 797;2 666;34,9;118;2,1;33,5;49;283;;
1.15;Январь 2025;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;9 168;227;163,8;59,3;3551,3;3 664;3 242;39,8;366;6,2;35,4;57;174;;
1.16;Январь 2025;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;8 145;187;166,1;20,8;2991,0;3 158;2 960;38,7;56;2,7;36,3;50;163;;
1.17;Январь 2025;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;7 554;197;144,4;46,0;2493,0;2 491;2 312;32,8;169;3,7;30,6;54;213;;
1.18;Январь 2025;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;6 748;202;129,4;49,8;2660,6;2 619;2 057;38,5;349;7,0;30,5;54;183;;
1.19;Январь 2025;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;9 663;236;170,5;64,2;3029,8;2 878;2 627;29,7;197;3,1;27,2;58;169;;
1.20;Январь 2025;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;7 911;200;129,8;69,9;2730,2;2 782;2 516;35,0;246;3,5;31,8;61;196;;
1.21;Январь 2025;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;10 742;244;190,0;53,1;3982,1;4 056;3 808;37,6;185;3,5;35,4;57;211;;
1.22;Январь 2025;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;9 167;303;164,9;136,9;3287,1;3 178;2 851;34,5;455;3,3;31,1;55;146;;
1.23;Январь 2025;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;2 463;94;69,7;16,4;1438,7;1 134;938;45,5;60;3,6;38,1;41;161;;
1.24;Январь 2025;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;5 086;197;110,1;59,7;2318,4;2 213;1 969;43,2;311;5,2;38,7;50;415;;
1.25;Январь 2025;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;6 490;155;120,9;28,4;2539,4;2 367;2 371;36,4;77;2,7;36,5;55;120;;
1.1;Февраль 2025;DAF К639ХВ777 ООО КР ГРУПП;к639хв777;10 104;231;178,4;45,2;3489,9;3 453;3 302;34,0;72;1,6;32,7;63;167;;
1.2;Февраль 2025;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;6 949;155;122,3;20,6;2756,9;2 499;2 234;35,8;55;2,6;32,2;63;282;;
1.3;Февраль 2025;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;9 724;216;169,2;36,7;3078,7;3 107;2 793;31,8;107;2,9;28,7;60;187;;
1.4;Февраль 2025;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;4 556;124;99,0;18,8;2069,6;2 216;2 216;48,5;78;4,2;48,6;48;174;;
1.5;Февраль 2025;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;7 112;191;110,4;72,1;2157,0;2 036;1 793;28,5;207;2,9;25,2;66;220;;
1.6;Февраль 2025;FAW О645КА977 ООО КР ГРУПП;О645КА977;10 274;256;187,1;69,3;3778,0;3 570;3 151;34,7;418;6,0;30,7;15;106;;
1.7;Февраль 2025;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);4 268;131;98,5;32,7;1509,7;1 571;1 399;36,7;143;4,4;32,8;41;181;;
1.8;Февраль 2025;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;2 179;91;48,9;16,3;471,6;760;612;32,2;37;2,3;28,1;51;172;;
1.9;Февраль 2025;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;8 901;228;156,0;49,5;3135,4;3 046;2 692;34,1;54;1,1;30,2;61;169;;
1.10;Февраль 2025;MAN М065МН777 ООО КР ГРУПП;М065МН777;2 568;70;49,9;15,8;896,3;901;806;35,0;61;3,8;31,4;52;330;;
1.11;Февраль 2025;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;3 130;171;96,0;55,7;1348,6;1 470;1 156;46,3;110;2,0;36,9;36;122;;
1.12;Февраль 2025;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;8 107;168;138,0;23,3;2638,1;2 840;2 483;34,9;18;0,8;30,6;65;207;;
1.13;Февраль 2025;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;7 749;212;157,9;44,2;2180,5;2 272;2 461;29,2;275;6,2;31,8;51;137;;
1.14;Февраль 2025;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;10 206;251;186,5;48,5;3363,2;3 273;3 081;31,9;85;1,8;30,2;57;150;;
1.15;Февраль 2025;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;10 327;295;173,5;113,9;4878,4;4 638;3 853;44,7;665;5,8;37,3;60;156;;
1.16;Февраль 2025;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;6 231;222;177,5;44,9;2433,7;2 540;2 245;40,6;170;3,8;36,0;37;151;;
1.17;Февраль 2025;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;8 525;225;163,7;46,3;3071,3;2 930;2 585;34,3;129;2,8;30,3;54;176;;
1.18;Февраль 2025;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;7 007;196;145,3;34,7;2733,8;2 815;2 177;39,9;279;8,1;31,1;51;146;;
1.19;Февраль 2025;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;5 460;200;114,4;60,1;2003,7;2 030;1 619;37,0;226;3,8;29,7;52;344;;
1.20;Февраль 2025;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;9 474;238;152,5;76,3;3114,4;3 284;2 962;34,5;276;3,6;31,3;62;437;;
1.21;Февраль 2025;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;9 422;265;163,7;64,3;3278,8;3 354;3 117;35,4;161;2,5;33,1;58;293;;
1.22;Февраль 2025;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;10 039;306;181,7;114,3;3402,6;3 386;3 013;33,6;376;3,3;30,0;57;202;;
1.23;Февраль 2025;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;8 137;325;143,0;52,1;2852,1;3 001;2 687;36,7;158;3,0;33,0;60;152;;
1.24;Февраль 2025;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;4 045;294;117,0;97,9;2742,1;2 732;1 567;66,7;564;5,8;38,7;45;437;;
1.25;Февраль 2025;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;9 870;239;171,1;53,5;3378,0;3 634;3 463;36,7;176;3,3;35,1;60;213;;
1.1;Март 2025;DAF К639ХВ777 ООО КР ГРУПП;к639хв777;300;37;12,8;15,9;;177;93;56,0;14;0,9;31,0;25;120;;
1.2;Март 2025;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;11 286;257;214,9;34,4;3142,6;3 680;3 359;32,4;52;1,5;29,8;60;354;;
1.3;Март 2025;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;12 917;252;212,2;33,9;3834,2;3 951;3 740;30,5;85;2,5;29,0;63;394;;
1.4;Март 2025;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;4 831;178;147,5;25,4;2427,7;2 119;2 032;43,5;101;4,0;42,1;37;361;;
1.5;Март 2025;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;8 236;179;137,2;36,7;2232,4;2 488;2 355;30,1;113;3,1;28,6;61;213;;
1.6;Март 2025;FAW О645КА977 ООО КР ГРУПП;О645КА977;12 510;266;228,0;37,9;3874,5;3 625;3 425;29,0;200;5,3;27,4;17;112;;
1.7;Март 2025;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);3 119;109;86,8;21,8;1275,1;1 206;1 100;38,6;103;4,7;35,3;33;200;;
1.8;Март 2025;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;11 146;241;189,7;45,5;3696,1;3 476;3 384;30,8;73;1,6;30,4;59;213;;
1.9;Март 2025;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;12 361;261;206,9;40,2;3983,1;4 183;3 960;33,7;41;1,0;32,0;63;232;;
1.10;Март 2025;MAN М065МН777 ООО КР ГРУПП;М065МН777;2 427;95;69,0;22,5;998,1;928;814;37,9;23;1,0;33,6;38;169;;
1.11;Март 2025;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;1 378;165;73,4;24,1;1540,8;1 479;525;101,9;49;2,1;38,1;30;117;;
1.12;Март 2025;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;6 313;124;104,9;16,6;2338,7;2 130;2 002;33,7;;0,0;31,7;61;159;;
1.13;Март 2025;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;5 966;217;164,6;46,3;2516,6;2 145;2 129;35,6;94;2,0;35,7;41;144;;
1.14;Март 2025;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;9 243;214;173,2;34,2;2888,1;2 867;2 719;30,8;53;1,5;29,4;54;183;;
1.15;Март 2025;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;10 963;224;176,0;37,5;3821,2;3 815;3 524;34,7;287;7,7;32,1;63;359;;
1.16;Март 2025;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;5 150;200;166,2;33,5;2655,0;2 177;2 018;42,0;;0,0;39,2;30;199;;
1.17;Март 2025;КАМАЗ М609МА799 ООО КР ГРУПП;М609МА799;12 001;254;207,8;38,7;4037,8;4 019;3 646;33,4;140;3,6;30,4;59;154;;
1.18;Март 2025;КАМАЗ О929КВ799 ООО КР ГРУПП;О929КВ799;9 450;227;165,9;37,9;3842,1;3 734;3 093;39,3;219;5,8;32,7;61;263;;
1.19;Март 2025;КАМАЗ Р089КВ799 ООО КР ГРУПП;Р089КВ799;12 567;290;205,6;59,1;3783,9;3 956;3 593;31,4;218;3,7;28,6;63;235;;
1.20;Март 2025;КАМАЗ Р213КВ799 ООО КР ГРУПП;Р213КВ799;11 055;232;187,4;38,0;3824,9;3 658;3 393;33,0;220;5,8;30,7;61;435;;
1.21;Март 2025;КАМАЗ Р235КВ799 ООО КР ГРУПП;Р235КВ799;11 604;223;189,9;27,5;3679,2;3 833;3 703;32,9;94;3,4;31,9;62;183;;
1.22;Март 2025;КАМАЗ У441ВО799 ООО КР ГРУПП;У441ВО799;14 057;310;235,1;71,2;4676,6;4 530;4 307;32,2;288;4,0;30,6;60;159;;
1.23;Март 2025;КАМАЗ У451ВО799 ООО КР ГРУПП;У451ВО799;8 028;243;173,4;58,5;2931,1;2 995;2 658;37,1;184;3,2;33,1;51;141;;
1.24;Март 2025;КАМАЗ Х066ВО799 ООО КР ГРУПП;Х066ВО799;4 193;111;74,5;19,1;1561,1;1 738;1 503;41,2;120;6,3;35,8;58;444;;
1.25;Март 2025;КАМАЗ Х132ВО799 ООО КР ГРУПП;Х132ВО799;10 159;228;176,1;47,3;4019,8;3 749;3 751;36,8;164;3,5;36,9;61;215;;
1.1;Апрель 2025;DAF К639ХВ777 ООО КР ГРУПП;к639хв777;6 373;125;102,0;9,7;2341,2;2 043;1 931;32,0;;0,0;30,3;64;183;;
1.2;Апрель 2025;DAF О569ХМ777 ООО КР ГРУПП;о569хм777;9 236;261;210,6;19,8;4127,2;3 804;2 999;40,9;13;0,7;32,5;55;450;;
1.3;Апрель 2025;DAF О643ХМ777 ООО КР ГРУПП;О643ХМ777;11 613;239;197,3;33,7;3509,1;3 443;3 262;29,5;85;2,5;28,1;60;280;;
1.4;Апрель 2025;DAF О959ТУ777 ООО КР ГРУПП;О959ТУ777;4 655;259;121,3;20,6;2017,9;2 163;1 756;46,4;80;3,9;37,7;39;143;;
1.5;Апрель 2025;DAF О985ТУ777 ООО КР ГРУПП;О985ТУ777;13 325;265;220,9;39,8;3804,0;3 490;3 689;26,1;127;3,2;27,7;62;420;;
1.6;Апрель 2025;FAW О645КА977 ООО КР ГРУПП;О645КА977;11 472;218;175,5;42,7;3038,7;3 312;3 129;28,9;183;4,3;27,3;16;110;;
1.7;Апрель 2025;IVECO Н904ТТ797 ООО КР ГРУПП;Н904ТТ797(В867ОА50);5 039;145;122,5;22,7;1779,5;1 805;1 697;35,7;109;4,8;33,7;38;185;;
1.8;Апрель 2025;MAN А033КМ77 ООО КР ГРУПП;А033КМ77;12 366;243;207,9;29,2;4167,8;4 018;3 848;31,0;54;1,9;31,1;60;237;;
1.9;Апрель 2025;MAN Е329ОМ77 ООО КР ГРУПП;Е329ОМ77;4 040;92;66,4;17,5;1196,7;1 407;1 331;34,7;6;0,4;32,9;62;185;;
1.10;Апрель 2025;MAN М065МН777 ООО КР ГРУПП;М065МН777;2 649;107;73,9;26,1;811,1;929;845;34,8;25;1,0;31,9;41;156;;
1.11;Апрель 2025;MAN Р601КХ77 ООО КР ГРУПП;Р601КХ77;2 605;163;94,7;36,4;1282,6;1 309;857;48,8;42;1,2;32,9;39;139;;
1.12;Апрель 2025;MAN Х584ВМ777 ООО КР ГРУПП;Х584ВМ777;8 878;170;146,3;17,9;2520,5;2 668;2 568;30,0;;0,0;28,9;61;174;;
1.13;Апрель 2025;КАМАЗ В939УС799 ООО КР ГРУПП;В939УС799;8 149;252;195,4;51,9;2482,5;2 540;2 884;31,0;62;1,2;35,4;43;452;;
1.14;Апрель 2025;КАМАЗ В979УС799 ООО КР ГРУПП;В979УС799;13 602;275;238,5;31,4;4168,8;4 287;4 193;31,4;43;1,4;30,8;58;211;;
1.15;Апрель 2025;КАМАЗ М542МА799 ООО КР ГРУПП;М542МА799;11 286;234;180,8;41,3;3750,3;3 792;3 578;33,5;340;8,2;31,7;62;159;;
1.16;Апрель 2025;КАМАЗ М577МА799 ООО КР ГРУПП;М577МА799;5 481;142;123,5;15,9;1791,7;1 848;1 827;33,6;40;2,5;33,3;44;196;;
